INFO 2025-12-07 19:43:41,884 log 6174 131195673241280 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-12-07 19:43:41,886 log 6174 131195656455872 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:41,893 log 6174 131195656455872 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:41,924 log 6174 131195903153856 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-12-07 19:43:41,925 log 6174 131195673241280 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,171 log 6174 131195673241280 "GET /admin/expenses/expense/ HTTP/1.1" 200 13685
INFO 2025-12-07 19:43:44,194 log 6174 131195673241280 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,205 log 6174 131195903153856 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,210 log 6174 131195656455872 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,211 log 6174 131195894761152 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,213 log 6174 131195664848576 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,214 log 6174 131195903153856 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,213 log 6174 131195681633984 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,217 log 6174 131195656455872 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,218 log 6174 131195894761152 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-12-07 19:43:44,259 log 6174 131195656455872 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
